Transaction Date,Description,Category,Type,Amount,Memo
5/14/2026,AMAZON PRIME*WZ5VW3WF3,Shopping,Sale,-5.46,
5/13/2026,Chowit,Food & Drink,Sale,-12.02,
5/8/2026,AMAZON MKTPL*BV3652FR0,Shopping,Sale,-71.9,
5/4/2026,AMAZON MKTPL*BJ3A62YE1,Shopping,Sale,-15.32,
4/29/2026,Audible*LW3HR4LS3,Bills & Utilities,Sale,-14.95,
4/26/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-48.75,
4/20/2026,AMAZON PRIME*8N3HW87S3,Bills & Utilities,Sale,-14.99,
4/20/2026,Payment Thank You-Mobile,,Payment,900,
4/15/2026,Amazon.com*BS8IB7FL2,Shopping,Sale,-49.25,
4/14/2026,AMAZON PRIME*B70CX85O1,Shopping,Sale,-5.46,
4/2/2026,Amazon.com*B785X9FL2,Shopping,Sale,-76.62,
3/26/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-42.15,
3/20/2026,AMAZON PRIME*G681H2RF3,Bills & Utilities,Sale,-14.99,
3/17/2026,AMAZON MKTPL*B513P1V42,Shopping,Sale,-10.94,
3/17/2026,Payment Thank You-Mobile,,Payment,200,
3/14/2026,AMAZON PRIME*BP46R8I11,Shopping,Sale,-3.27,
3/9/2026,TST* MCIKO - BURGER SHED,Food & Drink,Sale,-40.76,
3/7/2026,JASONS DELI OLATHE OL,Food & Drink,Sale,-29.32,
3/6/2026,AMAZON MKTPL*BE4GX9SB1,Shopping,Sale,-87.56,
3/6/2026,Amazon.com*BP0AX25O2,Shopping,Sale,-240.83,
3/3/2026,COSTCO WHSE #0349,Shopping,Sale,-349.47,
2/28/2026,Audible*T32UU1EW3,Bills & Utilities,Sale,-14.95,
2/26/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-36.88,
2/23/2026,AUTOMATIC PAYMENT - THANK,,Payment,41,
2/20/2026,AMAZON PRIME*3P4HP1PC3,Bills & Utilities,Sale,-14.99,
2/15/2026,Amazon.com*FJ9A32F33,Shopping,Sale,-32.79,
2/14/2026,AMAZON PRIME*C54AG5O63,Shopping,Sale,-3.27,
2/9/2026,Chowit,Food & Drink,Sale,-10,
2/8/2026,COSTCO GAS #0349,Gas,Sale,-22.26,
2/8/2026,COSTCO WHSE #0349,Shopping,Sale,-912.31,
2/5/2026,AMAZON MKTPL*8B8X84OZ3,Shopping,Sale,-156.51,
1/29/2026,Audible*DG57K0DR3,Bills & Utilities,Sale,-14.95,
1/28/2026,Amazon.com*5N9XN8Z73,Shopping,Sale,-32.28,
1/26/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-22.37,
1/22/2026,SHAWNEE CYCLE PLAZA,Automotive,Sale,-157.76,
1/21/2026,AMAZON MKTPL*N99PF1CE3,Shopping,Sale,-83.2,
1/21/2026,SHAWNEE CYCLE PLAZA,Automotive,Sale,-1627.57,
1/21/2026,Payment Thank You - Web,,Payment,1261.23,
1/20/2026,AMAZON PRIME*C71BC9A13,Bills & Utilities,Sale,-14.99,
1/19/2026,AMAZON MKTPL*RZ14B7573,Shopping,Sale,-48.15,
1/14/2026,AMAZON PRIME*DI1AH1VS3,Shopping,Sale,-3.27,
1/3/2026,Prime Video *0I6970F63,Shopping,Sale,-3.99,
